MeasureID,BldgType,BldgVint,BldgLoc,BldgHVAC,tstat,PreTechID,PreSizingID,StdTechID,StdSizingID,MeasTechID,MsrSizingID,SizingSrc,EU_HrRepVar,NormUnit
NE-HVAC-Unitary-addVFDExMtr,SCn,Ex,CZ16,cDXOH,0,NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,,None,NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-VFDExMtr,None,,,Each
NE-HVAC-Unitary-addVFDPMMtr,SCn,Ex,CZ16,cDXOH,0,NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,,None,NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-VFDPMMtr,None,,,Each
NE-HVAC-Unitary-addVFDStdMtr,SCn,Ex,CZ16,cDXOH,0,NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,,None,NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-VFDStdMtr,None,,,Each
NE-HVAC-Unitary-addVFDExMtr,SCn,Ex,CZ15,cDXOH,0,NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,,None,NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-VFDExMtr,None,,,Each
NE-HVAC-Unitary-addVFDPMMtr,SCn,Ex,CZ15,cDXOH,0,NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,,None,NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-VFDPMMtr,None,,,Each
NE-HVAC-Unitary-addVFDStdMtr,SCn,Ex,CZ15,cDXOH,0,NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,,None,NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-VFDStdMtr,None,,,Each
NE-HVAC-Unitary-addVFDExMtr,SCn,Ex,CZ14,cDXOH,0,NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,,None,NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-VFDExMtr,None,,,Each
NE-HVAC-Unitary-addVFDPMMtr,SCn,Ex,CZ14,cDXOH,0,NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,,None,NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-VFDPMMtr,None,,,Each
NE-HVAC-Unitary-addVFDStdMtr,SCn,Ex,CZ14,cDXOH,0,NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,,None,NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-VFDStdMtr,None,,,Each
NE-HVAC-Unitary-addVFDExMtr,SCn,Ex,CZ13,cDXOH,0,NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,,None,NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-VFDExMtr,None,,,Each
NE-HVAC-Unitary-addVFDPMMtr,SCn,Ex,CZ13,cDXOH,0,NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,,None,NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-VFDPMMtr,None,,,Each
NE-HVAC-Unitary-addVFDStdMtr,SCn,Ex,CZ13,cDXOH,0,NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,,None,NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-VFDStdMtr,None,,,Each
NE-HVAC-Unitary-addVFDExMtr,SCn,Ex,CZ12,cDXOH,0,NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,,None,NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-VFDExMtr,None,,,Each
NE-HVAC-Unitary-addVFDPMMtr,SCn,Ex,CZ12,cDXOH,0,NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,,None,NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-VFDPMMtr,None,,,Each
NE-HVAC-Unitary-addVFDStdMtr,SCn,Ex,CZ12,cDXOH,0,NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,,None,NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-VFDStdMtr,None,,,Each
NE-HVAC-Unitary-addVFDExMtr,SCn,Ex,CZ11,cDXOH,0,NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,,None,NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-VFDExMtr,None,,,Each
