TechID,SizingID,BldgType,BldgVint,BldgLoc,BldgHVAC,tstat,normunit,numunits,measarea,kwh_tot,kwh_ltg,kwh_task,kwh_equip,kwh_htg,kwh_clg,kwh_twr,kwh_aux,kwh_vent,kwh_venthtg,kwh_ventclg,kwh_refg,kwh_hpsup,kwh_shw,kwh_ext,thm_tot,thm_equip,thm_htg,thm_shw,deskw_ltg,deskw_equ,lastmod
NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,SCn,Ex,CZ16,cDXOH,0,Each,1.0,499990.41934355197,2878843.69,850055.03,0,449066.39,0.0,180131.72,0,0,1399587.19,0,0,0.0,0,0,0,3114.900341296928,0.0,0.0,3114.900341296928,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,SCn,Ex,CZ15,cDXOH,0,Each,1.0,499990.41934355197,4346302.510000001,850055.03,0,449066.39,0.0,1360613.96,0,0,1686563.77,0,0,0.0,0,0,0,2227.945392491468,0.0,0.0,2227.945392491468,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,SCn,Ex,CZ14,cDXOH,0,Each,1.0,499990.41934355197,3381888.3699999996,850055.03,0,449066.39,0.0,663226.89,0,0,1419536.7,0,0,0.0,0,0,0,2717.4327645051194,0.0,0.0,2717.4327645051194,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,SCn,Ex,CZ13,cDXOH,0,Each,1.0,499990.41934355197,3483108.88,850055.03,0,449066.39,0.0,720967.41,0,0,1463016.69,0,0,0.0,0,0,0,2641.8682593856656,0.0,0.0,2641.8682593856656,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,SCn,Ex,CZ12,cDXOH,0,Each,1.0,499990.41934355197,2912080.9899999998,850055.03,0,449066.39,0.0,417613.06,0,0,1195343.15,0,0,0.0,0,0,0,2822.49180887372,0.0,0.0,2822.49180887372,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,SCn,Ex,CZ11,cDXOH,0,Each,1.0,499990.41934355197,3341286.1599999997,850055.03,0,449066.39,0.0,656646.26,0,0,1385515.12,0,0,0.0,0,0,0,2696.5020477815697,0.0,0.0,2696.5020477815697,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,SCn,Ex,CZ10,cDXOH,0,Each,1.0,499990.41934355197,3131893.21,850055.03,0,449066.39,0.0,558731.58,0,0,1274036.85,0,0,0.0,0,0,0,2629.674744027304,0.0,0.0,2629.674744027304,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,SCn,Ex,CZ09,cDXOH,0,Each,1.0,499990.41934355197,3087839.7600000002,850055.03,0,449066.39,0.0,486730.03,0,0,1301984.95,0,0,0.0,0,0,0,2663.734129692833,0.0,0.0,2663.734129692833,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,SCn,Ex,CZ08,cDXOH,0,Each,1.0,499990.41934355197,3033926.17,850055.03,0,449066.39,0.0,473830.47,0,0,1260970.92,0,0,0.0,0,0,0,2644.6245733788396,0.0,0.0,2644.6245733788396,1,1,2026-07-16 22:51:30.560719
NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,SCn,Ex,CZ07,cDXOH,0,Each,1.0,499990.41934355197,2814855.84,850055.03,0,449066.39,0.0,258857.84,0,0,1256873.22,0,0,0.0,0,0,0,2700.547781569966,0.0,0.0,2700.547781569966,1,1,2026-07-16 22:51:30.560719
