TechID,SizingID,BldgType,BldgVint,BldgLoc,BldgHVAC,tstat,normunit,numunits,measarea,kwh_tot,kwh_ltg,kwh_task,kwh_equip,kwh_htg,kwh_clg,kwh_twr,kwh_aux,kwh_vent,kwh_venthtg,kwh_ventclg,kwh_refg,kwh_hpsup,kwh_shw,kwh_ext,thm_tot,thm_equip,thm_htg,thm_shw,deskw_ltg,deskw_equ,lastmod
NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,SCn,Ex,CZ16,cDXOH,0,Each,1.0,499990.41934355197,3469068.47,850055.03,0,449066.39,0.0,196622.17,0,0,1973321.52,0,0,0.0,0,0,0,3114.900341296928,0.0,0.0,3114.900341296928,1,1,2026-06-10 17:41:22.494414
NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,SCn,Ex,CZ15,cDXOH,0,Each,1.0,499990.41934355197,4351967.91,850055.03,0,449066.39,0.0,1360686.49,0,0,1692156.64,0,0,0.0,0,0,0,2227.945733788396,0.0,0.0,2227.945733788396,1,1,2026-06-10 17:41:22.494414
NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,SCn,Ex,CZ14,cDXOH,0,Each,1.0,499990.41934355197,3726836.64,850055.03,0,449066.39,0.0,695998.68,0,0,1731713.18,0,0,0.0,0,0,0,2717.4327645051194,0.0,0.0,2717.4327645051194,1,1,2026-06-10 17:41:22.494414
NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,SCn,Ex,CZ13,cDXOH,0,Each,1.0,499990.41934355197,3600418.09,850055.03,0,449066.39,0.0,725948.78,0,0,1575344.53,0,0,0.0,0,0,0,2641.867918088737,0.0,0.0,2641.867918088737,1,1,2026-06-10 17:41:22.494414
NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,SCn,Ex,CZ12,cDXOH,0,Each,1.0,499990.41934355197,3388534.5,850055.03,0,449066.39,0.0,448584.43,0,0,1640825.29,0,0,0.0,0,0,0,2822.49180887372,0.0,0.0,2822.49180887372,1,1,2026-06-10 17:41:22.494414
NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,SCn,Ex,CZ11,cDXOH,0,Each,1.0,499990.41934355197,3541205.77,850055.03,0,449066.39,0.0,670238.55,0,0,1571842.44,0,0,0.0,0,0,0,2696.5020477815697,0.0,0.0,2696.5020477815697,1,1,2026-06-10 17:41:22.494414
NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,SCn,Ex,CZ10,cDXOH,0,Each,1.0,499990.41934355197,3235700.63,850055.03,0,449066.39,0.0,568762.25,0,0,1367813.6,0,0,0.0,0,0,0,2629.674744027304,0.0,0.0,2629.674744027304,1,1,2026-06-10 17:41:22.494414
NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,SCn,Ex,CZ09,cDXOH,0,Each,1.0,499990.41934355197,3198213.02,850055.03,0,449066.39,0.0,497567.73,0,0,1401520.51,0,0,0.0,0,0,0,2663.734129692833,0.0,0.0,2663.734129692833,1,1,2026-06-10 17:41:22.494414
NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,SCn,Ex,CZ08,cDXOH,0,Each,1.0,499990.41934355197,3133594.64,850055.03,0,449066.39,0.0,482918.55,0,0,1351551.31,0,0,0.0,0,0,0,2644.6245733788396,0.0,0.0,2644.6245733788396,1,1,2026-06-10 17:41:22.494414
NE-HV_AirDist-SupFanMtr-cDXOH-2SpClgHtg-Cnst,None,SCn,Ex,CZ07,cDXOH,0,Each,1.0,499990.41934355197,2815132.3299999996,850055.03,0,449066.39,0.0,258859.0,0,0,1257148.55,0,0,0.0,0,0,0,2700.547781569966,0.0,0.0,2700.547781569966,1,1,2026-06-10 17:41:22.494414
