EnergyImpactID,Version,VersionSource,LastMod,PA,BldgType,BldgVint,BldgLoc,BldgHVAC,NormUnit,NumUnit,MeasArea,ScaleBasis,APreWBkWh,APreWBkW,APreWBtherm,APreWBkWh,APreWBkW,APreWBtherm,APreEUkWh,APreEUkW,APreEUtherm,AStdEUkWh,AStdEUkW,AStdEUtherm,ElecImpactProfileID,GasImpactProfileID,Flag,SourceDesc,APreUseWBkWh,APreUseWBtherm,AStdUseWBkWh,AStdUseWBtherm,AMsrUseWBkWh,AMsrUseWBtherm,APreUseEUkWh,APreUseEUtherm,AStdUseEUkWh,AStdUseEUtherm,AMsrUseEUkWh,AMsrUseEUtherm
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ01,cDXGF,Each,1,68000,None,5690,1.94,-0.00478,5690,1.94,-0.00478,,,,,,,,,20,,518510,10498,,,512820,10498,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ02,cDXGF,Each,1,68000,None,6820,0.524,-0.00478,6820,0.524,-0.00478,,,,,,,,,20,,617680,8622.9,,,610860,8622.9,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ03,cDXGF,Each,1,68000,None,10200,0.898,-0.00341,10200,0.898,-0.00341,,,,,,,,,20,,572250,5155,,,562100,5155,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ04,cDXGF,Each,1,68000,None,6570,0.001,-0.00478,6570,0.001,-0.00478,,,,,,,,,20,,691950,7795.7,,,685380,7795.7,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ05,cDXGF,Each,1,68000,None,9540,1.84,-0.00171,9540,1.84,-0.00171,,,,,,,,,20,,584420,5218,,,574880,5218,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ06,cDXGF,Each,1,68000,None,11100,0.303,-0.00205,11100,0.303,-0.00205,,,,,,,,,20,,637020,1889.9,,,625960,1889.9,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ07,cDXGF,Each,1,68000,None,10100,0,-0.00205,10100,0,-0.00205,,,,,,,,,20,,639640,1746.6,,,629520,1746.6,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ08,cDXGF,Each,1,68000,None,8110,0,-0.00205,8110,0,-0.00205,,,,,,,,,20,,699940,2369.5,,,691830,2369.5,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ09,cDXGF,Each,1,68000,None,8080,0,-0.000683,8080,0,-0.000683,,,,,,,,,20,,711880,3121.5,,,703810,3121.5,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ10,cDXGF,Each,1,68000,None,6680,0,-0.00239,6680,0,-0.00239,,,,,,,,,20,,729620,3232.4,,,722940,3232.4,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ11,cDXGF,Each,1,68000,None,5110,0,-0.00376,5110,0,-0.00376,,,,,,,,,20,,750340,8055.4,,,745240,8055.4,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ12,cDXGF,Each,1,68000,None,6440,0,-0.00307,6440,0,-0.00307,,,,,,,,,20,,679320,7713.2,,,672880,7713.2,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ13,cDXGF,Each,1,68000,None,5400,0,-0.00273,5400,0,-0.00273,,,,,,,,,20,,761800,6943.3,,,756400,6943.3,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ14,cDXGF,Each,1,68000,None,6650,0,-0.0447,6650,0,-0.0447,,,,,,,,,20,,768230,6905.7,,,761590,6905.8,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ15,cDXGF,Each,1,68000,None,5110,0,-0.0123,5110,0,-0.0123,,,,,,,,,20,,934640,1909.3,,,929530,1909.3,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ16,cDXGF,Each,1,68000,None,9560,0.3,-0.179,9560,0.3,-0.179,,,,,,,,,20,,647960,12514,,,638400,12514,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ01,cDXHP,Each,1,68000,None,5730,1.96,0,5730,1.96,0,,,,,,,,,20,,588500,827.22,,,582770,827.22,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ02,cDXHP,Each,1,68000,None,6860,0.55,0,6860,0.55,0,,,,,,,,,20,,676410,786.17,,,669550,786.17,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ03,cDXHP,Each,1,68000,None,10200,0.98,0,10200,0.98,0,,,,,,,,,20,,603080,779.34,,,592840,779.34,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ04,cDXHP,Each,1,68000,None,6590,0,0,6590,0,0,,,,,,,,,20,,745060,762.24,,,738470,762.24,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ05,cDXHP,Each,1,68000,None,9610,1.87,0,9610,1.87,0,,,,,,,,,20,,616300,782.16,,,606680,782.16,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ06,cDXHP,Each,1,68000,None,11200,0.308,0,11200,0.308,0,,,,,,,,,20,,640800,734.11,,,629580,734.11,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ07,cDXHP,Each,1,68000,None,10200,0,0,10200,0,0,,,,,,,,,20,,642970,728.37,,,632790,728.37,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ08,cDXHP,Each,1,68000,None,8160,0,0,8160,0,0,,,,,,,,,20,,711110,716.94,,,702960,716.94,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ09,cDXHP,Each,1,68000,None,8100,0,0,8100,0,0,,,,,,,,,20,,728760,720.86,,,720660,720.86,,,,,,
NE-HVAC-AirEcono-Adjust-ExSP55F,DEER2024,D24_E+_Com_v1,6/15/2026 10:46,Any,Asm,Ex,CZ10,cDXHP,Each,1,68000,None,6680,0,0,6680,0,0,,,,,,,,,20,,747320,713.91,,,740640,713.91,,,,,,
