EnergyImpactID,Version,VersionSource,LastMod,PA,BldgType,BldgVint,BldgLoc,BldgHVAC,NormUnit,NumUnit,MeasArea,ScaleBasis,APreWBkWh,APreWBkW,APreWBtherm,AStdWBkWh,AStdWBkW,AStdWBtherm,APreEUkWh,APreEUkW,APreEUtherm,AStdEUkWh,AStdEUkW,AStdEUtherm,ElecImpactProfileID,GasImpactProfileID,Flag,SourceDesc,APreUseWBkWh,APreUseWBtherm,AStdUseWBkWh,AStdUseWBtherm,AMsrUseWBkWh,AMsrUseWBtherm,APreUseEUkWh,APreUseEUtherm,AStdUseEUkWh,AStdUseEUtherm,AMsrUseEUkWh,AMsrUseEUtherm
NE-HVAC-Unitary-addSRM,DEER2024,D24_E+_Com_v1,2026-07-16 22:55:44,Any,Asm,Ex,CZ01,cDXGF,Each,1,68000,None,144000,23.7,1160,6750,1.51,-184,,,,,,,,,20,"",506900,13402,369680,12060,362930,12244,,,,,,
NE-HVAC-Unitary-addSRM,DEER2024,D24_E+_Com_v1,2026-07-16 22:55:44,Any,Asm,Ex,CZ02,cDXGF,Each,1,68000,None,150000,21.9,-363,7780,1.41,-150,,,,,,,,,20,"",599690,9656.5,457580,9870.0,449790,10020,,,,,,
NE-HVAC-Unitary-addSRM,DEER2024,D24_E+_Com_v1,2026-07-16 22:55:44,Any,Asm,Ex,CZ03,cDXGF,Each,1,68000,None,142000,21.1,366,7580,1.48,-105,,,,,,,,,20,"",546380,6370.9,411810,5900.0,404230,6004.8,,,,,,
NE-HVAC-Unitary-addSRM,DEER2024,D24_E+_Com_v1,2026-07-16 22:55:44,Any,Asm,Ex,CZ04,cDXGF,Each,1,68000,None,157000,22.8,-427,8310,1.28,-116,,,,,,,,,20,"",673020,7878.3,524250,8189.2,515940,8305.6,,,,,,
NE-HVAC-Unitary-addSRM,DEER2024,D24_E+_Com_v1,2026-07-16 22:55:44,Any,Asm,Ex,CZ05,cDXGF,Each,1,68000,None,144000,23.9,122,7780,1.47,-106,,,,,,,,,20,"",559560,6229.3,423130,6000.6,415350,6107.0,,,,,,
NE-HVAC-Unitary-addSRM,DEER2024,D24_E+_Com_v1,2026-07-16 22:55:44,Any,Asm,Ex,CZ06,cDXGF,Each,1,68000,None,142000,25.7,66,8730,1.59,-50.4,,,,,,,,,20,"",604790,2140.1,471200,2023.7,462470,2074.1,,,,,,
NE-HVAC-Unitary-addSRM,DEER2024,D24_E+_Com_v1,2026-07-16 22:55:44,Any,Asm,Ex,CZ07,cDXGF,Each,1,68000,None,145000,23.5,12.6,8710,1.57,-49.6,,,,,,,,,20,"",610760,1970.5,474860,1908.3,466160,1957.9,,,,,,
NE-HVAC-Unitary-addSRM,DEER2024,D24_E+_Com_v1,2026-07-16 22:55:44,Any,Asm,Ex,CZ08,cDXGF,Each,1,68000,None,151000,22.7,-61.6,9090,1.28,-43.1,,,,,,,,,20,"",677470,2526.8,535140,2545.2,526050,2588.3,,,,,,
NE-HVAC-Unitary-addSRM,DEER2024,D24_E+_Com_v1,2026-07-16 22:55:44,Any,Asm,Ex,CZ09,cDXGF,Each,1,68000,None,159000,23.4,-188,9080,1.28,-58.9,,,,,,,,,20,"",688920,3125.3,539270,3254.1,530190,3313.0,,,,,,
NE-HVAC-Unitary-addSRM,DEER2024,D24_E+_Com_v1,2026-07-16 22:55:44,Any,Asm,Ex,CZ10,cDXGF,Each,1,68000,None,156000,21.4,-168,8770,1.18,-62.1,,,,,,,,,20,"",709130,3333.3,562340,3439.3,553570,3501.3,,,,,,
NE-HVAC-Unitary-addSRM,DEER2024,D24_E+_Com_v1,2026-07-16 22:55:44,Any,Asm,Ex,CZ11,cDXGF,Each,1,68000,None,155000,16.2,-626,8260,0.996,-119,,,,,,,,,20,"",733140,8079.4,585960,8585.9,577700,8705.4,,,,,,
NE-HVAC-Unitary-addSRM,DEER2024,D24_E+_Com_v1,2026-07-16 22:55:44,Any,Asm,Ex,CZ12,cDXGF,Each,1,68000,None,153000,18,-411,8180,1.05,-110,,,,,,,,,20,"",660700,8205.8,515880,8507.2,507700,8616.9,,,,,,
NE-HVAC-Unitary-addSRM,DEER2024,D24_E+_Com_v1,2026-07-16 22:55:44,Any,Asm,Ex,CZ13,cDXGF,Each,1,68000,None,157000,14.9,-401,8430,0.792,-103,,,,,,,,,20,"",742950,6965.0,594210,7262.8,585780,7366.0,,,,,,
NE-HVAC-Unitary-addSRM,DEER2024,D24_E+_Com_v1,2026-07-16 22:55:44,Any,Asm,Ex,CZ14,cDXGF,Each,1,68000,None,168000,24,-588,9010,1.34,-96.4,,,,,,,,,20,"",748200,6906.2,588720,7397.5,579710,7493.8,,,,,,
NE-HVAC-Unitary-addSRM,DEER2024,D24_E+_Com_v1,2026-07-16 22:55:44,Any,Asm,Ex,CZ15,cDXGF,Each,1,68000,None,152000,6.79,-80.5,8700,0.404,-35.6,,,,,,,,,20,"",915880,1909.6,772340,1954.5,763650,1990.1,,,,,,
NE-HVAC-Unitary-addSRM,DEER2024,D24_E+_Com_v1,2026-07-16 22:55:44,Any,Asm,Ex,CZ16,cDXGF,Each,1,68000,None,181000,32,-1630,9550,1.93,-189,,,,,,,,,20,"",626750,12514,455430,13951,445890,14140,,,,,,
NE-HVAC-Unitary-addSRM,DEER2024,D24_E+_Com_v1,2026-07-16 22:55:44,Any,Asm,Ex,CZ01,cDXHP,Each,1,68000,None,156000,24.6,0.00922,5920,1.5,0.00205,,,,,,,,,20,"",560160,827.22,409940,827.21,404020,827.21,,,,,,
NE-HVAC-Unitary-addSRM,DEER2024,D24_E+_Com_v1,2026-07-16 22:55:44,Any,Asm,Ex,CZ02,cDXHP,Each,1,68000,None,152000,19.4,-0.00785,7400,2.23,-0.000341,,,,,,,,,20,"",637580,786.17,492630,786.17,485230,786.17,,,,,,
NE-HVAC-Unitary-addSRM,DEER2024,D24_E+_Com_v1,2026-07-16 22:55:44,Any,Asm,Ex,CZ03,cDXHP,Each,1,68000,None,148000,18.9,-0.00478,7160,1.37,0.00137,,,,,,,,,20,"",571060,779.34,429940,779.35,422780,779.35,,,,,,
NE-HVAC-Unitary-addSRM,DEER2024,D24_E+_Com_v1,2026-07-16 22:55:44,Any,Asm,Ex,CZ04,cDXHP,Each,1,68000,None,155000,18.9,-0.00205,7830,1.32,0.00137,,,,,,,,,20,"",703730,762.24,556810,762.24,548980,762.24,,,,,,
NE-HVAC-Unitary-addSRM,DEER2024,D24_E+_Com_v1,2026-07-16 22:55:44,Any,Asm,Ex,CZ05,cDXHP,Each,1,68000,None,149000,24.7,0.00205,7370,1.49,0.00307,,,,,,,,,20,"",584010,782.16,442170,782.16,434800,782.15,,,,,,
NE-HVAC-Unitary-addSRM,DEER2024,D24_E+_Com_v1,2026-07-16 22:55:44,Any,Asm,Ex,CZ06,cDXHP,Each,1,68000,None,142000,24.7,-0.00171,8710,1.59,-0.000341,,,,,,,,,20,"",610430,734.11,476720,734.11,468010,734.11,,,,,,
NE-HVAC-Unitary-addSRM,DEER2024,D24_E+_Com_v1,2026-07-16 22:55:44,Any,Asm,Ex,CZ07,cDXHP,Each,1,68000,None,145000,19.1,-0.00102,8510,1.33,0,,,,,,,,,20,"",616730,728.37,480450,728.37,471940,728.37,,,,,,
NE-HVAC-Unitary-addSRM,DEER2024,D24_E+_Com_v1,2026-07-16 22:55:44,Any,Asm,Ex,CZ08,cDXHP,Each,1,68000,None,144000,16.3,-0.00239,8920,1.32,0.00444,,,,,,,,,20,"",685160,716.94,549590,716.94,540670,716.94,,,,,,
NE-HVAC-Unitary-addSRM,DEER2024,D24_E+_Com_v1,2026-07-16 22:55:44,Any,Asm,Ex,CZ09,cDXHP,Each,1,68000,None,153000,19.1,-0.00717,8820,0.861,0.00307,,,,,,,,,20,"",699430,720.86,555390,720.87,546570,720.86,,,,,,
NE-HVAC-Unitary-addSRM,DEER2024,D24_E+_Com_v1,2026-07-16 22:55:44,Any,Asm,Ex,CZ10,cDXHP,Each,1,68000,None,147000,13.4,-0.00478,8500,1.25,-0.00171,,,,,,,,,20,"",720780,713.91,581780,713.92,573280,713.92,,,,,,
NE-HVAC-Unitary-addSRM,DEER2024,D24_E+_Com_v1,2026-07-16 22:55:44,Any,Asm,Ex,CZ11,cDXHP,Each,1,68000,None,147000,7.9,-0.00512,7580,0.8,0.00171,,,,,,,,,20,"",764800,727.81,624990,727.81,617410,727.81,,,,,,
